area_key,area_vendor,report_year,report_total_sold,lb_total_sold,total_sold_match,report_days_on_market,lb_days_on_market,days_on_market_match,report_median_sale,lb_median_sale,median_sale_match,report_avg_list,lb_avg_list,avg_list_match,report_avg_sale,lb_avg_sale,avg_sale_match,report_list_ratio,lb_list_ratio,list_ratio_match,area_boundary_id,area_subtype,report_quarter
Houston-Porter / New Caney Area,har,2021,1350.0,322.0,0.23851851851851846,44.0,33.0,0.75,257000.0,274184.0,0.933136186770428,294703.0,313482.0,0.9362782190883703,289765.0,309622.0,0.9314720549410729,98.0,99.0,0.9897959183673469,61658ae79c1ab200087654f4,SingleFamilyResidence,4
Houston-River Oaks Area,har,2018,160.0,,,131.0,,,1870688.0,,,2395919.0,,,2158826.0,,,90.0,,,61fc493d578e93000961a216,SingleFamilyResidence,4
Houston-River Oaks Area,har,2019,153.0,,,146.0,,,1725000.0,,,2444446.0,,,2173031.0,,,89.0,,,61fc493d578e93000961a216,SingleFamilyResidence,4
Houston-River Oaks Area,har,2020,157.0,,,189.0,,,1740000.0,,,2532826.0,,,2254958.0,,,89.0,,,61fc493d578e93000961a216,SingleFamilyResidence,4
Houston-River Oaks Area,har,2021,232.0,69.0,0.2974137931034483,140.0,62.0,0.44285714285714284,2050000.0,1912250.0,0.9328048780487805,2613886.0,2020970.0,0.7731668481333922,2391810.0,1932264.0,0.8078668456106464,92.0,96.0,0.9565217391304348,61fc493d578e93000961a216,SingleFamilyResidence,4
Houston-River Oaks Proper,har,2018,81.0,,,140.0,,,2400000.0,,,3291122.0,,,2933505.0,,,89.0,,,61fc493d942b2d0009393baa,SingleFamilyResidence,4
Houston-River Oaks Proper,har,2019,68.0,,,154.0,,,2447125.0,,,3597706.0,,,3177127.0,,,88.0,,,61fc493d942b2d0009393baa,SingleFamilyResidence,4
Houston-River Oaks Proper,har,2020,67.0,,,240.0,,,2785000.0,,,3872575.0,,,3358382.0,,,87.0,,,61fc493d942b2d0009393baa,SingleFamilyResidence,4
Houston-River Oaks Proper,har,2021,102.0,21.0,0.20588235294117652,170.0,78.0,0.45882352941176474,2867500.0,2525000.0,0.8805579773321709,3800725.0,3153429.0,0.8296914404488618,3461320.0,2957297.0,0.8543841655784499,91.0,94.0,0.967032967032967,61fc493d942b2d0009393baa,SingleFamilyResidence,4
Houston-Spring Area,har,2018,4495.0,,,91.0,,,242000.0,,,290995.0,,,275624.0,,,95.0,,,61fc4949788805000988e13b,SingleFamilyResidence,4
Houston-Spring Area,har,2019,4869.0,1.0,0.00020538098172107055,78.0,39.0,0.5,252000.0,218000.0,0.8650793650793651,303243.0,224900.0,0.7416494362606887,288175.0,218000.0,0.7564847748763772,95.0,97.0,0.9789473684210527,61fc4949788805000988e13b,SingleFamilyResidence,4
Houston-Spring Area,har,2020,5261.0,2.0,0.00038015586390416356,64.0,103.0,0.390625,269500.0,255000.0,0.9461966604823747,320863.0,260450.0,0.811717150310257,308785.0,255000.0,0.8258173162556471,96.0,97.0,0.9895833333333334,61fc4949788805000988e13b,SingleFamilyResidence,4
Houston-Spring Area,har,2021,5409.0,1239.0,0.22906267332224073,30.0,20.0,0.6666666666666667,319000.0,335000.0,0.9498432601880877,367687.0,380520.0,0.9650980317498307,365896.0,379386.0,0.9631316002361326,100.0,100.0,1.0,61fc4949788805000988e13b,SingleFamilyResidence,4
